Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
107.602,100.2,105,98.9031,2.90763,0.597425144327,
99.1302,101.092,102.228,105,4.98732,1.188915111676,
98.9606,94.1798,100,98.2818,4.23172,1.785340192739,
109.167,100.697,105,95.618,6.56969,2.378304888121,
102.013,103.143,105,104.465,3.26669,2.968152843371,
99.998,106.142,100,101.672,4.47032,3.560165399569,
98.1598,94.9114,102.347,95,4.18804,4.160071503473,
107.108,97.5198,105,101.124,4.17541,4.745306550048,
97.9169,106.244,100,104.859,2.50197,5.346891413453,
102.375,98.2842,100,95.9162,3.35359,5.942810061609,
108.846,97.9092,105,97.9664,3.84671,6.535123179127,
98.9311,104.653,103.171,105,4.25399,7.125389575302,
101.527,97.7404,100,99.294,2.17849,7.717882034484,
106.19,101.73,104.624,95,6.90958,8.312498391231,
102.983,102.808,105,103.482,2.12697,8.902963332689,
98.4138,99.4554,100,102.634,3.55264,9.495319823597,
102.125,91.1442,101.252,95,3.95338,10.087244961995,
103.682,93.8204,105,100.005,6.32349,10.671092773333,
99.1391,104.286,101.085,105,2.07307,11.265226322029,
97.3316,93.8848,100,97.0635,4.15028,11.866479949228,
102.198,99.4714,105,96.8852,3.81302,12.462701208007,
106.742,106.442,104.185,105,2.93603,13.058083975366,
99.9998,105.233,100,100.243,4.98982,13.654416229431,
104.976,93.8634,103.818,95,1.62256,14.258511784414,
105.444,100.398,105,102.651,2.29676,14.847229358761,
97.2896,103.955,100,103.482,2.75134,15.43990561048,
99.4067,103.461,100.552,95,8.53772,16.040830153401,
101.981,92.5423,105,99.4922,7.5775,16.636582606141,
105.18,104.218,101.66,105,3.60615,17.226684116608,
96.8587,93.8727,100,97.7894,5.02084,17.818245226212,
107.379,99.3949,105,96.0823,4.07828,18.409077970304,
102.387,103.506,105,104.937,2.97906,18.999825703594,
101.539,102.333,100,101.351,1.82526,19.580657679119,
103.445,99.9129,102.566,95,4.99098,20.174328120057,
104.423,100.079,105,101.494,1.52825,20.770042970107,
102.062,104.783,100,104.629,2.06746,21.361751658896,
97.9587,100.52,100,95.7203,5.21605,21.956150661875,
106.904,96.9807,105,98.3872,2.36717,22.563356178738,
99.6068,104.613,102.768,105,3.18455,23.157374157312,
102.569,93.3046,100,98.7561,6.02639,23.753583112984,
107.569,104.357,105,95.1137,9.59376,24.344683985297,
104.145,104.362,105,104.003,0.926981,24.937556493499,
96.8587,104.867,100,102.219,4.10886,25.524444600127,
99.6381,89.9763,101.642,95,5.40875,26.113445905647,
103.13,92.8315,105,100.546,7.93785,26.707697400141,
98.4751,102.494,100.594,105,3.2815,27.297438585482,
103.956,101.627,100,96.6454,6.36127,27.894352553133,
106.788,104.309,105,97.2651,7.26754,28.489242027649,
103.439,109.316,103.837,105,4.33423,29.081636777499,
99.3262,95.273,100,99.7764,4.55358,29.685681273168,
104.215,100.138,104.188,95,5.13765,30.283232933663,
106.77,110.25,105,103.06,7.40502,30.874546143138,
96.081,102.264,100,103.061,3.99915,31.46625816198,
99.9243,101.151,100.961,95,6.23736,32.068262907372,
105.381,101.44,105,99.8627,1.62296,32.661179053519,
104.134,103.587,101.39,105,3.08592,33.244732350524,
96.122,100.217,100,97.3491,4.82328,33.84746179914,
102.169,93.9325,105,96.6205,3.90376,34.445015117427,
102.621,102.947,104.57,105,2.83136,35.032398313215,
99.3242,98.3013,100,100.703,2.49488,35.625390537561,
101.055,97.7352,103.356,95,3.57463,36.227937522285,
106.51,99.5667,105,102.202,3.03765,36.81728727419,
100.002,107.14,100,104.024,3.11577,37.402479900661,
99.9989,91.5638,100,95.0526,3.48884,38.00011959768,
101.219,97.6995,105,98.8238,3.94465,38.592060180966,
104.226,110.145,102.348,105,5.47703,39.180389803098,
103.787,102.819,100,98.5395,5.71465,39.76796249111,
105.544,88.4148,105,95.4261,7.0324,40.365247076529,
102.022,101.105,105,104.381,4.42773,40.962431305174,
98.9611,99.0501,100,101.814,2.95226,41.549431435395,
104.952,97.6103,102.227,95,3.77324,42.152521644312,
105.392,96.229,105,101.103,4.88995,42.74450080073,
98.3187,104.419,100.105,105,1.8782,43.330501513787,
98.9052,97.2334,100,96.1624,1.53152,43.926252036164,
104.336,98.1612,105,97.853,0.732086,44.527641597183,
102.032,102.463,103.297,105,2.83512,45.117232162524,
103.752,101.973,100,99.4897,4.49999,45.704512636833,
102.325,97.1959,104.44,95,3.04865,46.300356674881,
103.516,107.272,105,103.356,4.18752,46.895377470345,
102.306,107.184,100,102.952,4.81959,47.473421642791,
101.947,96.7762,101.052,95,1.98897,48.073778296703,
103.126,94.7953,105,100.061,5.58922,48.674986035102,
100.071,105.167,101.14,105,1.08129,49.260915473233,
102.659,100.746,100,97.1849,4.44432,49.858149403904,
101.003,92.8364,105,96.6942,5.55529,50.450010552159,
107.02,104.033,104.479,105,2.71868,51.03853769485,
103.756,104.179,100,100.717,5.10807,51.623133816996,
104.264,99.9172,103.188,95,5.03355,52.217124561074,
105.001,103.635,105,102.036,1.59946,52.806250999728,
103.307,107.08,100,104.153,4.41625,53.393835780006,
100.779,92.4095,100,95.1057,2.80659,53.996579204817,
105.394,95.8755,105,98.722,2.87359,54.586668185542,
101.58,109.252,102.355,105,4.3218,55.181709981501,
98.0999,102.186,100,98.3559,4.27575,55.779682679051,
103.407,99.9383,105,95.6576,4.56758,56.381119437235,
104.997,105.797,105,104.574,1.22314,56.975183314518,
99.3157,100.544,100,101.564,1.22784,57.566027640843,
103.891,101.357,102.511,95,6.50534,58.171257951724,
104.297,99.4189,105,101.339,2.04442,58.759844917128,
100.778,102.976,100,104.908,2.0833,59.343577984158,
98.7266,103.958,100,95.9341,8.1244,59.941136543243,
Média,,,,4.01289
102.925,93.5765,105,98.863,5.67916,0.594756898533,
102.254,105.007,102.276,105,0.0232059,1.185458725923,
98.4516,91.6702,100,98.3322,6.83956,1.78159965152,
104.964,101.541,105,95.7316,5.80919,2.386316584441,
108.833,107.322,105,104.56,4.72442,2.974484565533,
100.685,100.564,100,101.589,1.23332,3.56440502845,
99.2151,98.7956,102.281,95,4.87891,4.156806974999,
104.073,97.4839,105,101.246,3.87493,4.753805991106,
96.6073,105.209,100,104.891,3.40762,5.344682773137,
98.7204,93.1734,100,95.7653,2.89055,5.953065573855,
103.65,103.599,105,98.1069,5.65556,6.544686663273,
101.926,101.482,102.913,105,3.65344,7.143156875325,
99.1443,95.7052,100,98.8609,3.26968,7.746493801092,
100.754,87.7476,105,95.2071,8.5835,8.35109052998,
106.7,107.26,105,104.042,3.63891,8.940159102146,
98.439,102.776,100,102.096,1.70249,9.531215411319,
103.291,90.5584,101.829,95,4.67595,10.125533244139,
101.975,98.8436,105,100.725,3.56215,10.719236780483,
101.842,108.622,100.439,105,3.88381,11.307625717287,
98.9121,101.85,100,96.3745,5.5825,11.912075773425,
108.201,103.078,105,97.5166,6.41667,12.504753355996,
103.518,104.169,103.651,105,0.841584,13.093763825352,
99.1507,102.029,100,99.7564,2.42643,13.68867236858,
106.419,89.3325,104.271,95,6.06058,14.288184054779,
104.118,103.849,105,103.191,1.10076,14.882980857835,
99.1169,103.081,100,102.815,0.922162,15.482985398034,
105.364,98.7305,101.15,95,5.62806,16.080626087662,
105.205,97.9478,105,100.026,2.08859,16.672506036453,
101.731,101.255,101.284,105,3.77128,17.251675394948,
98.9441,102.438,100,97.3756,5.17133,17.845616994566,
107.322,91.1657,105,96.4875,5.8061,18.436310249522,
106.24,106.551,104.712,105,2.17708,19.022857556582,
100,98.7973,100,100.739,1.9415,19.621161796096,
104.57,87.3383,103.341,95,7.75979,20.226416758743,
104.404,100.834,105,102.131,1.42731,20.812695123229,
102.01,105.059,100,103.94,2.30049,21.40785560922,
101.208,101.051,100.045,95,6.16215,22.007051320532,
106.89,94.7146,105,98.8614,4.5572,22.594507954375,
105.106,106.63,102.295,105,3.2489,23.184053729452,
101.04,96.8961,100,98.2708,1.72361,23.785994750746,
103.627,94.4613,105,95.7943,1.91342,24.390395557838,
103.383,106.198,105,104.558,2.3033,24.974183351395,
101.214,101.042,100,101.631,1.34903,25.562155528676,
100.346,99.7522,102.427,95,5.18762,26.165929928749,
103.148,93.8114,105,101.327,7.74005,26.758952541036,
99.2269,100.922,100,104.782,3.93686,27.351921369454,
99.999,89.5779,100,95.8159,6.23802,27.949596153986,
104.084,90.8104,105,98.0689,7.31607,28.542053238578,
100.976,104.669,103.11,105,2.15924,29.129999487253,
98.7971,104.288,100,99.187,5.2406,29.724671919477,
103.861,95.7981,104.603,95,1.08945,30.310631817123,
105.48,105.364,105,103.439,1.98447,30.90016888912,
99.9985,108.322,100,102.558,5.76353,31.500217407843,
100.99,94.1527,101.463,95,0.970261,32.101498328003,
105.204,103.036,105,100.241,2.80302,32.686418197227,
99.688,106.841,100.779,105,2.13984,33.28543500214,
98.7513,97.5456,100,96.8136,1.4474,33.883000746266,
103.208,88.2612,105,97.2719,9.18712,34.488978306855,
103.927,103.633,103.95,105,1.3677,35.073936739506,
98.4773,100.241,100,100.095,1.52961,35.664205175483,
103.395,103.409,103.755,95,8.4167,36.254096609723,
102.495,98.3695,105,102.677,4.98331,36.849070202697,
97.286,101.524,100,103.505,3.36045,37.437150541455,
99.6933,85.9083,100.619,95,9.1387,38.044902648133,
102.539,99.0548,105,99.4998,2.50067,38.637290987756,
102.555,103.022,101.758,105,2.1331,39.21971246306,
100.001,95.1992,100,97.7128,2.51363,39.8229135764,
105.863,92.3465,105,96.2746,4.02173,40.422095127532,
103.011,103.421,104.751,105,2.35004,41.020526633846,
99.324,94.1787,100,100.765,6.62069,41.619686733536,
105.873,88.73,103.219,95,6.80854,42.218121593382,
105.14,104.947,105,102.054,2.89696,42.807684055056,
97.9867,102.849,100,104.003,2.32043,43.404032253923,
100.001,86.8369,100,95.0836,8.24679,43.998071717008,
102.53,100.109,105,98.6119,2.88886,44.578212524459,
104.53,106.958,102.442,105,2.86267,45.174430840463,
102.244,95.79,100,98.5584,3.56366,45.767083747333,
104.278,101.227,105,95.4339,5.8382,46.366068825791,
105.848,106.531,105,104.254,2.42993,46.954204845758,
102.258,104.203,100,101.963,3.18042,47.539537310064,
98.7906,87.5641,101.811,95,8.02583,48.124178843148,
108.548,105.231,105,100.615,5.82167,48.711698284437,
100.714,111.065,100.558,105,6.06652,49.300131469497,
100.001,97.6053,100,96.5572,1.04812,49.900213742612,
107.205,102.679,105,97.5124,5.61761,50.505135260441,
107.368,109.008,103.656,105,5.46323,51.093453509227,
97.4518,97.1291,100,99.7611,3.66343,51.686661641986,
106.626,104.113,104.23,95,9.42324,52.28602940225,
103.231,101.229,105,103.04,2.53218,52.873386706133,
97.6934,105.322,100,103.029,3.25259,53.468291464772,
100.912,92.0133,100.884,95,2.98683,54.062895944132,
106.493,101.235,105,99.7283,2.12091,54.652459876367,
102.811,104.265,101.301,105,1.67955,55.25080143167,
100.001,101.929,100,97.3548,4.57402,55.846342848673,
100.986,95.5516,105,96.5932,4.14691,56.443072052166,
106.017,108.335,104.521,105,3.65452,57.035871319044,
99.3257,96.1308,100,100.484,4.40518,57.637903726746,
100.32,95.6336,103.442,95,3.18577,58.233494800008,
102.285,103.9,105,102.284,3.15924,58.822673053173,
103.28,106.294,100,103.906,4.05724,59.410245416856,
100.005,99.9355,100,95.0767,4.85872,59.999032830934,
Média,,,,3.9959
105.187,101.762,105,98.9148,2.85362,0.599664966325,
101.926,100.312,102.33,105,4.70565,1.181750951132,
102.585,99.8691,100,98.389,2.97889,1.777991859399,
103.624,87.9404,105,95.6641,7.84537,2.38131691476,
105.548,105.223,105,104.537,0.87859,2.973300893067,
99.9994,103.627,100,101.571,2.05515,3.5656972672,
104.44,95.7906,102.463,95,2.12918,4.169203491518,
105.18,99.6899,105,101.305,1.62467,4.757590072548,
102.861,101.615,100,104.866,4.33086,5.345986963036,
97.2129,92.3584,100,95.8153,4.44046,5.949957707937,
103.168,92.3772,105,98.0946,6.00364,6.543086677324,
107.271,106.717,103.066,105,4.54181,7.132708762153,
100.852,98.2259,100,99.1001,1.22106,7.730329227135,
107.053,92.838,104.892,95,3.05673,8.330277718795,
105.001,103.77,105,103.743,0.0270644,8.920094601565,
99.9991,98.9426,100,102.332,3.38981,9.514978932061,
105.391,93.9379,101.797,95,3.7477,10.12396463566,
108.551,105.314,105,100.709,5.81504,10.71783225342,
100.485,103.877,100.513,105,1.12375,11.303629270517,
97.6689,96.2392,100,96.6311,2.36383,11.895307130183,
103.597,101.228,105,97.4509,4.0297,12.50065677676,
102.876,102.796,103.738,105,2.36665,13.087747244103,
99.9998,99.472,100,99.6409,0.168905,13.694311803205,
103.442,89.2491,104.223,95,5.80358,14.285651729396,
103.55,104.509,105,103.038,2.06582,14.872817085284,
98.3919,102.595,100,103.099,1.6853,15.463749514501,
105.058,89.6616,100.846,95,6.79982,16.060158079079,
106.875,100.787,105,99.6429,2.19644,16.646910456356,
103.006,103.501,101.542,105,2.09504,17.23469597509,
101.924,101.78,100,97.7165,4.4963,17.822769293957,
105.024,96.5498,105,96.3843,0.167284,18.428910636111,
106.422,106.683,104.856,105,2.29841,19.013561918008,
98.9709,100.196,100,101.04,1.33087,19.60094207571,
102.927,86.094,102.818,95,8.90663,20.191988498964,
104.082,100.067,105,101.781,1.94413,20.789355106832,
96.6781,104.533,100,104.334,3.32784,21.381687624973,
99.9984,100.193,100,95.4765,4.71618,21.972218758274,
107.598,96.6041,105,98.276,3.08941,22.555803722168,
102.866,101.253,102.797,105,3.74756,23.150997838194,
103.098,97.8006,100,98.7306,3.23474,23.755058525717,
105.925,87.9864,105,95.3731,7.44437,24.362035030954,
104.967,109.5,105,104.186,5.3145,24.949907017568,
103.128,101.672,100,101.979,3.14282,25.538891209703,
98.8083,98.6392,102.033,95,4.86244,26.139605106602,
104.067,96.9986,105,100.804,3.91757,26.724608475856,
103.709,107.727,100.297,105,4.3681,27.317409426495,
102.348,101.013,100,96.3034,5.2628,27.917211628874,
102.273,101.943,105,97.5482,5.17219,28.506744828456,
107.296,104.391,103.574,105,3.77186,29.098827141543,
99.1493,98.6221,100,99.4969,1.22024,29.704111707284,
105.941,105.132,104.452,95,10.241,30.300515973856,
104.999,101.54,105,103.258,1.71869,30.887812888759,
99.9989,102.396,100,103.067,0.671136,31.465873107385,
103.771,99.5716,100.95,95,5.37204,32.066953647862,
107.605,101.343,105,99.8832,2.98658,32.662625512059,
99.9948,102.201,101.059,105,2.99426,33.266186820249,
97.6951,93.7202,100,97.0184,4.02382,33.869668458894,
103.536,98.2586,105,96.7891,2.07423,34.456353647768,
103.05,104.732,104.414,105,1.39033,35.043040656926,
99.9998,100.643,100,100.553,0.0903887,35.633660649537,
106.408,91.5538,103.369,95,4.5951,36.228175792675,
105.913,106.998,105,102.07,5.01267,36.808613962386,
98.7264,107.55,100,104.098,3.67947,37.397278773985,
97.1498,94.6031,100,95.2339,2.91913,37.988014081527,
108.172,96.4527,105,98.6232,3.84375,38.578666874796,
103.773,103.649,102.44,105,1.89798,39.174392914044,
101.209,99.5329,100,98.6045,1.52423,39.763725538541,
101.684,93.4772,105,95.3295,3.79794,40.35959009541,
106.692,109.05,105,104.18,5.15482,40.949454365056,
99.9994,100.097,100,101.828,1.73104,41.548854876967,
104.995,94.81,102.153,95,2.84789,42.147328852774,
103.14,93.4437,105,101.024,7.80479,42.739191972515,
100.85,103.481,100.105,105,1.69218,43.329752692578,
100.001,98.9535,100,96.3958,2.55767,43.910674936559,
108.906,102.264,105,97.3931,6.24372,44.496464346139,
100.546,105.583,103.712,105,3.21928,45.08977920075,
99.1498,96.6824,100,99.6792,3.11511,45.693755478679,
104.995,97.3148,104.257,95,2.42946,46.288007213575,
104.361,105.186,105,103.109,2.17293,46.877796881835,
100.001,104.184,100,103.082,1.10207,47.464905093654,
101.471,104.84,101.081,95,9.84774,48.075737901864,
107.079,104.288,105,99.8214,4.92693,48.65897011342,
97.1708,106.481,101.407,105,4.48772,49.245147373022,
101.23,95.4993,100,97.5459,2.38752,49.833964813186,
105.001,93.3679,105,96.27,2.9021,50.421629829156,
102.802,106.297,104.964,105,2.52107,51.006177276729,
100.679,100.169,100,101.084,1.13961,51.598257424369,
105.755,100.613,102.803,95,6.3423,52.190588032411,
108.177,100.389,105,101.557,3.38549,52.77424680299,
99.9981,108.14,100,104.548,3.59144,53.3674395755,
104.126,100.861,100,95.4175,6.83053,53.97587506201,
103.674,97.1065,105,98.4167,1.86385,54.565120200347,
101.761,107.35,102.701,105,2.53097,55.157238460165,
101.532,99.3453,100,99.0228,1.56583,55.735838904146,
101.54,98.3753,104.87,95,4.74138,56.328299320117,
103.64,98.7216,105,103.76,5.21863,56.921328056841,
102.281,105.953,100,102.455,4.17588,57.506844340931,
102.826,98.9259,101.532,95,4.13361,58.106181725141,
102.539,95.815,105,100.455,5.25241,58.700605575098,
100.66,103.856,100.816,105,1.1544,59.283194741533,
103.921,99.8762,100,96.9304,4.90449,59.875416380507,
Média,,,,3.53354
105.393,102.34,105,98.842,3.51953,0.593557267682,
100.966,102.947,102.371,105,2.48745,1.179755269223,
99.9996,90.2188,100,98.3864,8.1676,1.778328095792,
103.618,96.7831,105,95.4521,1.91873,2.367104784867,
102.913,103.669,105,104.312,2.18347,2.958172986698,
98.7833,105.151,100,101.874,3.4962,3.54588136547,
101.451,91.4952,102.159,95,3.57554,4.147671279408,
103.694,100.187,105,100.962,1.51896,4.734434718552,
100.259,108.04,100.246,105,3.04035,5.320943724196,
101.264,99.7267,100,96.3264,3.62749,5.915441992241,
105.426,94.6118,105,97.6764,3.09417,6.515791320906,
106.073,106.809,103.472,105,3.16818,7.105461838284,
100,99.4616,100,99.48,0.0183577,7.705001904983,
103.725,98.5433,104.482,95,3.62323,8.302794104814,
106.526,104.854,105,103.307,2.17276,8.891031059932,
97.6983,106.328,100,102.896,4.13228,9.477739440439,
101.683,86.0581,101.177,95,8.95618,10.082196317003,
105.381,99.7991,105,100.157,0.522917,10.681040581889,
101.122,108.047,100.982,105,3.05036,11.271937932092,
100.89,100.348,100,97.1253,3.3429,11.862063547032,
102.945,98.3612,105,96.737,2.61943,12.453340923712,
108.574,108.897,104.339,105,5.7555,13.04790378053,
102.225,104.157,100,100.307,4.4465,13.649867996864,
107.816,96.8955,103.556,95,4.66278,14.240575341274,
105.434,101.984,105,102.396,0.598517,14.830213210194,
101.089,101.85,100,103.816,2.24695,15.415985839023,
102.292,97.8518,100.17,95,3.55503,16.015577652353,
105.389,96.1969,105,99.0023,2.83222,16.603982496303,
100.019,105.905,102.133,105,2.30038,17.194664413891,
99.9982,102.273,100,98.1714,4.10182,17.792661374567,
104.503,96.2018,105,95.7773,0.653565,18.388978414895,
